Job Title,Company Name,Experience Level,Work Type,Job Type,Location,Company type,Number of employees,Job description
Data Analyst II,myGwork - LGBTQ+ Business Community,Entry level,Hybrid,Full-time,Bengaluru,"Technology, Information and Internet",11-50,"
                This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community.  

Data Analyst-II

Do you like working with data and analytics to gain insight to solve problems?

Do you enjoy collaborating across teams to build and deliver products that make a difference?

About the Role:-

You
 will provide analytics thought partnership to our product teams. You 
will lead new feature and product improvement experimentation to 
quantify customer and business impact. You will brainstorm, define and 
calculate metrics to optimize the customer experience by generating 
insights to drive our products forward. You will collaborate with 
stakeholders and cross-functional technical teams as part of an embedded
 team.

About Our Team

Within
 Research Products, the role of the Product Analytics team is to turn 
the multitude of data into insights and AB testing opportunities that 
can be used to build better digital products. Like us, you thrive in a 
complex data environment. We like getting our hands into the data, 
focusing on insights which drive actions and product improvements. We 
extract data and make sense of it using SQL, Python/R, Tableau/Adobe 
Analytics and quantitative techniques (such as regression, or 
statistical testing).

How Product Analytics Drives Customer Outcomes.

Roles & Responsibilities: -

      Define
 the right metrics. Use your deep knowledge of user behavior to define 
performance metrics with your stakeholders that align with user success 
and satisfaction. For new features apply your customer centricity and 
business knowledge to identify and define the key metrics to evaluate 
product success. Collaborate with business stakeholders to define 
product OKRs to ensure we are focusing our efforts effectively.Measure
 performance. Set up dashboards and reports to track performance. Build 
models to understand product performance and user behavior - ultimately 
quantifying and communicating these insights through product metrics. 
Review user experience to ensure that the appropriate tagging and 
tracking is in place to improve our products. Create product/user 
funnels to understand and represent user behaviour and engagement with 
our products. Uncovering opportunities for new features, and 
collaborating with the Product Manager to define, prototype (& 
evaluate experiment results) and scale features & solutions. Identify
 and test opportunities for improvements. Grounded in deep analysis of 
our datasets, generate hypotheses and validate them through online 
experimentation and AB testing. Then deliver these together with product
 managers, designers and engineers. Support
 strategic decisions and roadmaps. Innovate and discover new insights by
 diving deeply into the data, combining various sources (including 
database and web-analytics data sources) from across the business, to 
support decisions and resolve strategic questions. Planning and 
prioritization with Product Managers. Helping them to understand which 
features could be built, quantify the user and business impact, and 
communicate these recommendations to senior leadership. Advocate
 Data-driven culture. Communicate insights and information effectively 
and engagingly, through presentations, reporting and dashboards to all 
levels of the organization. Advocate for a data-driven culture and help 
your stakeholders in how to interpret results. Empowering and enabling 
stakeholders across the business to make embrace the power of data and 
drive data informed decision making.


Skills & Requirements: -

      Growth Mindset. The right mix of passion, humility, positivity and desire to grow.Experience. Experience solving problems with data, collaborating with stakeholders as a data-driven thought partner. Preferred:
 Experience in product analytics, digital product optimization, A/B 
testing, and web-analytics. Demonstrable experience in data analysis and
 insight generation with business impact, incl. building predictive 
models. Ability to initiate and drive projects to completion with 
minimal guidance. Technical
 skills. Proficiency with SQL, Adobe Analytics and strong understanding 
of how to use data in solving problems. Preferred: Proficiency with 
Excel, Powerpoint, scripting (e.g., Python, R), the ability to analyze 
and combine large data sets in cloud data warehouse services such as 
Amazon Redshift, Snowflake (or other Postgres DB) and analytics 
platforms such as Databricks (Apache-Spark). Communication
 & Stakeholder management. Strong communicator and fluent in English
 (speaking and writing). Ability to communicate the findings and 
recommendations of analysis in a clear and effective manner at all 
levels, incl. experience with visual reporting and dashboarding tools 
(e.g., Tableau). Ability to engage with multiple stakeholders across the
 wider business. Preferred: Experience working cross culture and 
department, the ability to collaborate with stakeholders with different 
perspectives and priorities than yours. 


Education & Qualification. Bachelor/Master-level degree.

Preferred: Degree
 with quantitative focus (Statistics, Mathematics, Physics, Computer 
Science, or Economics with a strong analytical/statistical foundation)

Benefits: -

       Group Health Insurance Policy (covering self and family) Group Life insurance/accident policy Generous long-service awards New Baby gift


Work in a way that works for you

We
 promote a healthy work/life balance across the organisation. With an 
average length of service of 9 years, we are confident that we offer an 
appealing working prospect for our people. With numerous wellbeing 
initiatives, shared parental leave, study assistance and sabbaticals, we
 will help you meet your immediate responsibilities and your long-term 
goals.

      Working
 flexible hours - flexing the times when you work in the day to help you
 fit everything in and work when you are the most productive


Working with us

We
 are an equal opportunity employer with a commitment to help you 
succeed. Here, you will find an inclusive, agile, collaborative, 
innovative and fun environment, where everyone has a part to play. 
Regardless of the team you join, we promote a diverse environment with 
co-workers who are passionate about what they do, and how they do it.

Working for you

Benefits

As
 a spearhead of good employment practices, your health and wellbeing are
 of great importance to securing your future. These are some of the 
benefits we are delighted to offer:

      Dutch Share Purchase PlanAnnual Profit Share BonusComprehensive Pension PlanHome, office or commuting allowanceGenerous vacation entitlement and option for sabbatical leaveMaternity, Paternity, Adoption and Family Care leaveFlexible working hoursPersonal Choice budgetVariety of online training courses and career roadshowsWellbeing programs and gym facility in the officeInternal communities and networksVarious employee discounts


About Us:-

RELX is a global provider of information-based analytics and decision tools for professional and business customers.

We
 help scientists make new discoveries, doctors and nurses improve the 
lives of patients and lawyers win cases. We prevent online fraud and 
money laundering, and help insurance companies evaluate and predict 
risk. Our events enable customers to learn about markets, source 
products and complete transactions. In short, we enable our customers to
 make better decisions, get better results and be more productive. The 
Group serves customers in more than 180 countries and has offices in 
about 40 countries. It employs over 33,000 people, of which around 1/4th
 are technologists.

We want RELX to be a
 great place to work, where our employees feel valued, have equal 
opportunities and benefit from pay equality, regardless of their gender,
 gender identity, national origin, race, ethnicity, religion, sexual 
orientation, age or disability status. Inclusion and diversity are 
important to our future. We need the engagement of people from a wide 
range of backgrounds, experiences and ideas to achieve real innovation 
for our customers around the world.

About the business: -

A
 global leader in information and analytics, we help researchers and 
healthcare professionals' advance science and improve health outcomes 
for the benefit of society. Building on our publishing heritage, we 
combine quality information and vast data sets with analytics to support
 visionary science and research, health education and interactive 
learning, as well as exceptional healthcare and clinical practice. At 
Elsevier, your work contributes to the world's grand challenges and a 
more sustainable future. We harness innovative technologies to support 
science and healthcare to partner for a better world.

# LI-MC1

Elsevier
 is an equal opportunity employer: qualified applicants are considered 
for and treated during employment without regard to race, color, creed, 
religion, sex, national origin, citizenship status, disability status, 
protected veteran status, age, marital status, sexual orientation, 
gender identity, genetic information, or any other characteristic 
protected by law. We are committed to providing a fair and accessible 
hiring process. If you have a disability or other need that requires 
accommodation or adjustment, please let us know by completing our 
Applicant Request Support Form: https://forms.office.com/r/eVgFxjLmAK , 
or please contact 1-855-833-5120.

Please read our Candidate Privacy Policy.


            "
Data Scientist,Insight Global,Mid-Senior level,Remote,Contract,India,Staffing and Recruiting,1001-5000,"
                Exact compensation may vary based on several factors, including skills, experience, and education. Job Description *Insight
 Global is seeking a Senior Data Scientist to support a large Healthcare
 client. This candidate will support the clients Palantir development 
initiatives and will be part of a team that is using cutting edge 
technology to build solutions that works with large volumes of data 
across multiple platforms. They will partner with a team of data 
scientists, data gurus, and product owners to deliver products that will
 help drive decision making. Ultimately, this role will be responsible 
for translating business requirements and building machine learning 
models through all phases of development.
Responsibilities:Analyzing large amounts of information to find patterns and solutions.Creating data pipelines using Pipeline Builder and Code RepositoriesCreating and managing data modeling objectsAnalyzing data using tools like Code Workbook, Contour and QuiverEstablishing data connections, building data health monitors, and analyzing data lineageResponsible for building customer facing applications built within machine learning technologies.Being
 a visionary who can translate business needs, challenges and 
requirements into solutions that deliver value to the organization.
Required Skills and Experience *Bachelor's or master's degree in computer science, Information Technology, or other related field or equivalent work experience.2-5 years of data engineering experience2-5 years experience in predictive and prescriptive modeling.2-5 years experience in programming for large scale data analysis and data modernizationExperienced in Code Repositories / branching strategies.Hands-on experience with data science toolsAbility to write scripts for data manipulation, transformation, and analysis.Proficiency in languages such as Python, SQL, or R.Problem Solving AptitudeContinuously researches and evaluates emerging technologies.
Nice to Have Skills and ExperienceExperience in data engineering/ETL ecosystems with Palantir Foundry, Cognizant, AlteryxFamiliarity with machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch).Certificates, Licenses, Registrations or Professional Designations
Certifications such as Foundry Application Developer Foundry Data Analyst, Foundry Data Engineer a plus
            "
Data Engineer,ORMAE,Entry level,Hybrid,Full-time,Bengaluru,Business Consulting and Services,51-200,"SQL stronghold is must. Advanced SQL working knowledge and experience 
working with a variety of relational databases, SQL query authoring.

AWS
 Cloud data pipeline experience is must. Data pipelines and data centric
 applications using distributed storage platforms like S3 and 
distributed processing platforms like Spark, Airflow, Kafka.

Working knowledge of AWS technologies such as S3, EC2, EMR, RDS, Lambda, Elasticsearch.

Ability to use a major programming (e.g. Python /Java) to process data for modelling.

Requirements

Understanding the basics of distributed systems like Apache Hadoop and Apache Spark .

Data warehouse products like Redshift, Snowflake.

Bigquery , Knowledge of NoSQL Databases like mongo."
Usability Analyst - Consultant,Origin Medical Research Lab,,Hybrid,Contract,Bengaluru,,11-50,"
                Usability Analyst - Consultant
Origin
 Medical Research Lab seeks highly talented and self-motivated 
individuals ready to build impactful products to democratize quality 
prenatal care globally for every expecting mother. At Origin Medical 
Research Lab, we offer an empowering work environment that allows you to
 take full ownership of your work and fosters collaboration and personal
 growth. We look for exceptional individuals and outliers who want to 
join us on this mission. Embark on a purpose-driven career journey by 
joining our team. 
About Origin Medical Research Lab
Origin
 Medical Research Lab is the research arm of Origin Medical. Here, we 
strive to bring together the best and brightest minds at the 
intersection of AI and healthcare to fulfill Origin Medical’s mission. 
By
 combining the knowledge of healthcare and AI, it is on a journey to 
build state-of-the-art solutions aimed at supporting a broad spectrum of
 healthcare providers in rural and urban communities, allowing them to 
practice at the top of their licenses. With AI in the imaging workflow, 
clinicians can more confidently deliver timely interventions, enhance 
pregnancy outcomes, identify high-risk pregnancies to reduce maternal 
mortality, and significantly lower infant mortality rates.
Origin
 Medical, headquartered in Cambridge, Massachusetts, USA, is driven by a
 mission to advance maternal health equity by improving access to 
quality prenatal care with artificial intelligence.
About the Team and the Role 
“Every once in a while, a revolutionary product comes along that changes everything” - Steve JobsThis
 is your opportunity to work with a team that is building the world’s 
most advanced AI-enabled clinical and workﬂow assistant for fetal 
imaging.The Product Team leads the entire product 
life cycle all the way from the inception of an idea, formulating the 
product strategy, laying the foundation to design and build, validating 
at various stages, and ﬁnally launching the product.As
 a Usability Analyst - Consultant for the Product Team, you will be 
involved in usability testing of the product and analysis of the 
outcomes for testing.
What will you do?
Enhance User Experience (UX):       Apply data-driven design methodologies to improve user experience, leveraging insights from analytics tools.Utilize
 wireframing and prototyping tools to create visual representations of 
product designs and iterate on them based on user feedback.

Work on the Visual Design:       Ensure consistency in design elements and interactions across different screens and platforms.Choose appropriate colors, typography, and imagery to enhance the overall user experience.Incorporate branding guidelines and design standards into the visual design process.

Usability Testing:      Plan,
 conduct, and analyze usability tests, including designing test 
scenarios, moderating sessions, and interpreting results to provide 
actionable recommendations for product improvement.Define
 key usability metrics and implement analytics tools to track user 
behavior, interactions, and engagement with digital products.Employ
 statistical analysis software to quantitatively analyze usability data 
and derive meaningful insights for product improvement.Collaborate with stakeholders and development teams to implement usability recommendations.

Who are we looking for? 
      5 years of work experience in design with a focus on UX/UI and usability testing methodologiesBachelor’s
 or Master’s Degree in Design; Preferably in fields related to design 
with focus on interaction design, UX/UI design, human computer 
interaction, or a relevant degree with significant work experience in 
this domain, can also be considered.Certified 
Usability Analyst (CUA) certification from HFI/Nielsen Norman Group UX 
certification/Flatiron School UX/UI Design Course, or similar 
certifications is a plus.

Core Strengths:      Deep understanding of UX/UI principles, human-computer interaction (HCI), and usability best practices.Proven track record of successfully implementing data-driven design methodologies to improve user experience.Proficiency
 in conducting usability testing, including designing test scenarios, 
moderating sessions, analyzing results, and providing actionable 
recommendations.Familiarity with various usability evaluation methods, such as heuristic evaluation, cognitive walkthroughs, and user surveys.

Skill sets:      Wireframing and prototyping tools include Sketch, Adobe XD, or Figma.Usability testing tools and software Morae, UsabilityHub, or UserTesting.com.Analytics tools Google Analytics, Hotjar, or MixpanelAbility to communicate complex ideas effectively - both verbally and in writing - in English.Good to have statistical analysis software

Working at Origin Medical Research Lab
      You will receive competitive monthly compensation aligned with industry standards.You
 will work with an exceptional team of highly qualified individuals who 
strive to deliver a product that improves the standard of care for 
expecting mothers everywhere.At Origin Medical, we
 take pride in fostering an inclusive and optimistic company culture 
that places great value on collaboration, teamwork, and work-life 
balance. As a valued member of our team, you will have the opportunity 
to join a supportive environment where individuals genuinely care about 
each other's success and well-being. Our dedicated colleagues are always
 ready to lend a helping hand and wish you nothing but the best in your 
professional journey.

            "
Data Science Specialist,Applicantz,Mid-Senior level,On-site,Contract,Bengaluru,"Technology, Information and Internet",201-500,"
                THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. 
Our
 large, Fortune client is ranked as one of the best companies to work 
with, in the world. The client fosters progressive culture, creativity, 
and a Flexible work environment. They use cutting-edge technologies to 
keep themselves ahead of the curve. Diversity in all aspects is 
respected. Integrity, experience, honesty, people, humanity, and passion
 for excellence are some other adjectives that define this global 
technology leader.
Qualifications:      3+ years of proven experience in the Marketing domain, especially in applying data science techniques to marketing problems.Proficiency in Python, SQL, and Snowflake.Solid knowledge of standard probability distributions and statistical tests.Previous experience with machine learning techniques related to classification, regression, and clustering.Familiarity with A/B testing, Attribution, Time series projection, Linear programing/Optimization.Ability to communicate clearly and effectively with stakeholders at all levels of the business.Able
 to apply machine learning techniques for classification, regression, 
and clustering to derive insights from complex data setsDegree in Computer Science, Statistics, Mathematics or a related field.

Responsibilities:      Design and implement A/B testing procedures to understand the impact of various marketing strategies.Develop and maintain attribution models to identify the sequence of touchpoints that lead to a desired outcome.Use time series projection and linear programming/optimization techniques to forecast marketing trends.Apply machine learning techniques for classification, regression, and clustering to derive insights from complex data sets.Build and refine scoring models for accounts and leads to drive more efficient marketing spend.

            "
Data Engineer,avua,,Remote,Full-time,India,"Technology, Information and Internet",51-200,"
                We are seeking a talented Data Engineer to join
 our clients dynamic team. The ideal candidate will be responsible for 
designing, developing, and maintaining scalable data pipelines and 
systems to support our data-driven initiatives. 
Responsibilities:      Design,
 build, and maintain robust, scalable data pipelines to collect, 
process, and store large volumes of structured and unstructured data 
from various sources.Develop and implement 
efficient data models and architectures to support data analysis and 
reporting requirements. Optimize data storage and retrieval for 
performance and cost-effectiveness.Integrate data 
from multiple sources, including databases, APIs, and streaming 
platforms, ensuring data consistency, accuracy, and reliability.Implement
 data quality checks and validation processes to ensure data accuracy, 
completeness, and consistency. Troubleshoot and resolve data quality 
issues as they arise.Identify and address 
performance bottlenecks in data processing and storage systems. Optimize
 query performance and resource utilization for improved efficiency.Monitor
 data pipelines and systems for performance and reliability. Proactively
 identify and address issues to minimize downtime and ensure data 
availability.Document data pipelines, 
architectures, and processes to facilitate knowledge sharing and 
collaboration across teams. Collaborate with cross-functional teams, 
including data scientists, analysts, and software engineers, to 
understand data requirements and deliver integrated solutions.Stay
 updated on emerging technologies, tools, and best practices in data 
engineering. Evaluate and incorporate new technologies and techniques to
 enhance data processing capabilities and efficiency.

Qualifications:      Bachelor's or Master's degree in Computer Science, Engineering, or a related field.Proven
 experience as a Data Engineer or similar role, with a strong background
 in designing and implementing data pipelines and systems.Proficiency
 in programming languages such as Python, Java, or Scala, with 
experience in data processing frameworks like Apache Spark or Apache 
Flink.Solid understanding of database systems, data modeling, and SQL query optimization.Experience
 with cloud platforms such as AWS, Azure, or Google Cloud, including 
services like Amazon S3, EMR, Redshift, or Azure Data Lake.Familiarity with containerization and orchestration tools such as Docker and Kubernetes is a plus.Strong analytical and problem-solving skills, with the ability to troubleshoot complex data issues and optimize performance.Excellent communication and collaboration skills, with the ability to work effectively in a team environment.

Preferred Qualifications:      Experience with big data technologies such as Hadoop, Kafka, or Hive.Knowledge of machine learning frameworks and techniques.Certification
 in cloud computing or data engineering (e.g., AWS Certified Big Data - 
Specialty, Google Professional Data Engineer).

Note: This is for one of our clients, not avua directly
            "
Associate Lead Data Scientist,Sigmoid,Entry level,On-site,Full-time,Bengaluru,IT Services and IT Consulting,501-1000,"
                Skill Sets

      Strong learning acumenTeam PlayerHigh sense of ownershipAbility to work in a fast-paced and deadline-driven environmentLoves technologyHighly skilled at Data InterpretationProblem solver


Responsibilities:

      Hypothesis testing, insights generation, root cause analysis, factor analysisStatistical
 model (predictive & prescriptive) development using various 
statistical & machine learning techniques/algorithmsTest/train the model, Improve Model accuracy, Monitor model performanceData
 Extraction from EDW/Big Data Platform, Dataset Preparation (creation of
 base data, aggregation, transformation), performing EDA


Minimum Qualifications:

      Recent Graduates with Bachelors/Masters degree in Computer Science, Information Technology or similar degreeGood exposure to machine learning concepts and algorithmsMust be fluent with any one of Python, R, Java


Preferred Qualifications (would be a plus):

      Strong in statistical & machine learning conceptsKnowledge of Python Libraries - Scipy, Numpy, Pandas, IPython, Scikit-learnKnowledge of distributed big data processing (PySpark, Jupyter, Linux, AWS)

            "
Data Analyst,Newton School,,On-site,Full-time,Bengaluru,Education,201-500,"Come be part of a rocketship that’s creating a massive impact in the world of education!

On
 one side you have over a million college graduates every year with 
barely 5% employability rates and on the other side, there are thousands
 of companies struggling to find talent. Newton School aims to bridge 
this massive gap through it’s personalised learning platform. We are 
building an online university and solving the deep problem of 
employability of graduates.

We have a 
strong core team consisting of alumni from IIT's and IIM’s, having 
several years of industry experience in companies like Unacademy, 
Inmobi, Ola, Microsoft - among others. On this mission, we are backed by
 some of the most respected investors around the world, - RTP Global, 
Nexus Venture Partners and a slew of angel investors including CRED’s 
Kunal Shah, Flipkart’s Kalyan Krishnamoorthy, Unacademy and Razorpay 
founders, Udaan’s Sujeet Kumar among others.

About : At
 Newton School, we are looking to hire passionate Data Analysts to help 
drive analysis behind decisions related to operations,strategy, 
processes, and optimisations.

Responsibilities

      You need to be a big-picture problem solver and a strategic partner.You
 also need to demonstrate analytical thinking through data-driven 
decisions and possess the technical know-how, fascination, and 
team-spirit to make a huge impact.Team member is expected to clean, analyse & visualise dataWork with large, complex data sets to solve difficult, non-routine problems through analysisBuild dashboards to self-serve data needsSupport senior leadership on business decisions through data backed recommendations.


Requirements

      1-2 Years of relevant experience in data analytics role High proficiency in Advanced Excel & SQL is a must. Proficiency in Python, Metabase/PowerBi is must.Good problem solving & insight generation skills. Excellent communication skills with technical and non-technical stakeholders. Bachelor's degree is compulsory"
Data Scientist,GSK,,On-site,Full-time,Bengaluru,Pharmaceutical Manufacturing,10001+,"
                Site Name: Bengaluru Luxor North Tower

Posted Date: Apr 10 2024

GSK
 is one of the world's preeminent pharmaceutical and healthcare 
companies. We take pride in leading a healthcare revolution. Through 
disruptive approaches in R&D and commercial business processes, our 
Data & Analytics team integrates, simplifies, and unlocks all our 
data. This drives innovation, decision-making, and allows us to better 
serve our patients, healthcare professionals, and consumers.

Responsibilities & Skillsets Requirements

Database manipulation & reporting (SQL,Python):


      Capabilities: Good Understanding on Azure data Lake, Azure SQL Database, Data Bricks and Azure SQL Data warehouse.



Hands on experience on using Python & SQL in Databricks for
 data extraction, transformation, and aggregation from multiple file 
formats for analyzing & transforming the data. Will need to be agile
 and understand new data sets as they are ingested


      Project
 Examples: Cleaning and preparing data for dashboard builds, analyses, 
and other projects. Being able to pick up and (when needed) modify 
existing code, along with creating new code to build datasets.PowerBI Developer: Greater than 3 years experienceCapabilities: Ability to take above blob storage and Databrick tables and further develop them as PowerBI dashboards.



Experience integrating Microsoft Powerapps, Power BI Dax, and Power Query, and Modeling.

Strong understanding of Power BI Architecture, deployment, and sharinig mechanisms

Experience in design and development of ETL using Databricks (PySpark, Python, R) and Informatica.

Experience in evaluating business requirements, apply data modeling to transform client requests into data deliverables.


       Ability
 to work across different BU’s, Tech, and with other offshore Data 
AnalystProject Examples: Create, maintain, and enhance Power-BI 
Dashboards utilizing mutlipe data sources, including appropriate 
handling of confidential data.



Data Science, AI/ML Capabilities:


      Capabilities:
 Experience running simple data science, AI/ML projects such as gradient
 boosting and random forest to better leverage our wide data sets and 
build our capabilities



Experience in strong analytical skills with the ability to 
collect, organize, analyze, and disseminate significant amounts of 
information with attention to detail and accuracy.

Hands-on
 experience in Analyzing National and Xponent data (TRx, NRx, NBRx , 
Prescriber Data), APLD, data processing, data normalizations, KPI 
Computing and creating numerous business KPI’s and visualizing them on 
Power BI & other reporting tools for higher leadership and decision 
makers.

Experience with linear regression modeling to understand relations and key impact of drivers to overall performance.

Why Us?

GSK
 is a global biopharma company with a special purpose – to unite 
science, technology and talent to get ahead of disease together – so we 
can positively impact the health of billions of people and deliver 
stronger, more sustainable shareholder returns – as an organization 
where people can thrive. Getting ahead means preventing disease as well 
as treating it, and we aim to positively impact the health of 2.5 
billion people by the end of 2030.

Our 
success absolutely depends on our people. While getting ahead of disease
 together is about our ambition for patients and shareholders, it’s also
 about making GSK a place where people can thrive. We want GSK to be a 
workplace where everyone can feel a sense of belonging and thrive as set
 out in our Equal and Inclusive Treatment of Employees policy. We’re 
committed to being more proactive at all levels so that our workforce 
reflects the communities we work and hire in, and our GSK leadership 
reflects our GSK workforce.

Important notice to Employment businesses/ Agencies

GSK
 does not accept referrals from employment businesses and/or employment 
agencies in respect of the vacancies posted on this site. All employment
 businesses/agencies are required to contact GSK's commercial and 
general procurement/human resources department to obtain prior written 
authorization before referring any candidates to GSK. The obtaining of 
prior written authorization is a condition precedent to any agreement 
(verbal or written) between the employment business/ agency and GSK. In 
the absence of such written authorization being obtained any actions 
undertaken by the employment business/agency shall be deemed to have 
been performed without the consent or contractual agreement of GSK. GSK 
shall therefore not be liable for any fees arising from such actions or 
any fees arising from any referrals by employment businesses/agencies in
 respect of the vacancies posted on this site.

It
 has come to our attention that the names of GlaxoSmithKline or GSK or 
our group companies are being used in connection with bogus job 
advertisements or through unsolicited emails asking candidates to make 
some payments for recruitment opportunities and interview. Please be 
advised that such advertisements and emails are not connected with the 
GlaxoSmithKline group in any way.

GlaxoSmithKline
 does not charge any fee whatsoever for recruitment process. Please do 
not make payments to any individuals / entities in connection with 
recruitment with any GlaxoSmithKline (or GSK) group company at any 
worldwide location. Even if they claim that the money is refundable.

If
 you come across unsolicited email from email addresses not ending in 
gsk.com or job advertisements which state that you should contact an 
email address that does not end in “gsk.com”, you should disregard the 
same and inform us by emailing askus@gsk.com, so that we can confirm to 
you if the job is genuine.
            
          
          
          "
Graduate Actuary,,,Remote,Full-time,India,,11-50,"Job Title: Graduate ActuaryLocation: India, RemoteJob Type: Full-time
About Our Company:AInsurCo
 is a leading insurance and financial services firm committed to 
providing innovative solutions to our clients. At the heart of our 
operations is a focus on harnessing the power of data to drive 
decision-making and offer customized services.

Job Summary:As
 a Graduate Actuary, you will join our dynamic actuarial team and use 
your passion for data and strong coding skills to analyse risk, evaluate
 insurance products, and contribute to financial forecasting and 
modeling projects. This position offers a robust platform for growth in 
both technical and business aspects of actuarial science.
Key Responsibilities:      Develop
 and implement statistical models for risk assessment, pricing, and 
predictive analytics using actuarial software and programming languages.Collaborate with cross-functional teams to design and enhance insurance products.Assist in the preparation of studies, reports, and actuarial research.Analyse trends and perform data analysis to influence strategic decisions.Ensure compliance with regulatory standards and internal guidelines.

Qualifications:      Bachelor’s degree in Actuarial Science, Statistics, Mathematics, or a related field.Strong programming skills in languages such as R, Python, SQL, or similar.An enthusiastic approach to problem-solving and data analysis.Excellent communication and interpersonal skills to effectively present data insights and interact with stakeholders.Prior internship or experience in an actuarial role is an advantage but not required.

Preferred Skills:      An understanding of machine learning techniques and their applications in finance and insurance.Ability to work independently and as part of a team in a fast-paced environment.

What We Offer:      A collaborative and inclusive work environment where innovation and fresh ideas are valued.Professional growth opportunities, including support for actuarial exams and continuous learning.Competitive salary and benefits package, including sick leave, and paid time off."
Data Analyst Jobs Opening,Radhika Enterprises,Entry level,,Full-time,Bengaluru,Manufacturing,1-10,"We are looking to hire a data analyst to join our data team. You will 
take responsibility for managing our master data set, developing 
reports, and troubleshooting data issues. To do well in this role you 
need a very fine eye for detail, experience as a data analyst, and a 
deep understanding of the popular data analysis tools and databases.

Data Analyst Responsibilities

Managing master data, including creation, updates, and deletion.

Managing users and user roles.

Provide quality assurance of imported data, working with quality assurance analysts if necessary.

Commissioning and decommissioning of data sets.

Processing confidential data and information according to guidelines.

Helping develop reports and analyses.

Managing and designing the reporting environment, including data sources, security, and metadata.

Supporting the data warehouse in identifying and revising reporting requirements.

Supporting initiatives for data integrity and normalization.

Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.

Generating reports from single or multiple systems.

Troubleshooting the reporting database environment and reports.

Evaluating changes and updates to source production systems.

Training end-users on new reports and dashboards.

Providing technical expertise in data storage structures, data mining, and data cleansing.

Other Details

Salary-42,000/- to 58,000/-

Required Experience-0 To 10

Minimum Age-18

Data Analyst Requirements

Qualification Required-Diploma,B.tech,M.tech,

Bachelors degree from an accredited university or college in computer science

0 To 10 years of industry experience also can apply

Work Department-Data Scientist,Data Analyst

Work Industry-IT,Banking.

Skills-Excellent understanding of statistics, multivariable calculus, and linear algebra.

Experience with data querying languages, and statistical or mathematical software.

Proficient in writing algorithms, and knowing when to apply them.

for more clarification contact to this number-9667155754

5053dys@gmail.com

 Regards

 HR Placement Team

This job is provided by Shine.com"
LLM Engineer,Pesto Tech,Mid-Senior level,Remote,Full-time,India,"Technology, Information and Internet",11-50,"
                Job Title: LLM Engineer (Fine-tuning)Location: RemoteExperience: 5-8 yearsOpportunity Type: Contract to hire (Contract Duration 3 Months)**Note: This position is with one of our hiring partners
Role Overview:As
 an LLM Fine Tuner, you will be responsible for evaluating, selecting, 
and fine-tuning open source and/or commercial Language Models (LLMs) for
 financial lending domains. You will work closely with our data 
scientists and engineers to build and manage model pipelines, 
continuously monitoring and improving model performance to meet business
 needs.
Key Responsibilities:      Evaluate and select LLMs suitable for financial lending domains.Fine-tune selected models for domain-specific tasks, such as customer onboarding, loan servicing, and collections.Build
 and manage model pipeline lifecycle, including data collection, 
cleaning, finetuning, deployment, monitoring, and performance 
improvement.Develop comprehensive Python modules for NLP tasks, including tokenization, word embeddings, and classifications.Implement data preprocessing techniques for text cleaning, tokenization, normalization, and handling of special characters.Utilize machine learning concepts, neural networks, and optimization algorithms for model finetuning.Adapt pre-trained language models to specific tasks and domains.Conduct hyperparameter tuning using methods like grid search, random search, or Bayesian optimization.Evaluate model performance using appropriate metrics and interpret model predictions.Ensure ethical considerations related to language models, such as bias mitigation and privacy preservation, are addressed.Collaborate effectively with existing customer systems to integrate and deploy models.

Essential Skills:      Proficiency
 in Python programming, with experience in libraries like TensorFlow, 
PyTorch, Transformers, NLTK, Pandas, and sklearn.Deep learning expertise in NLP tasks.Experience in the financial lending domain, including customer onboarding, loan servicing, and collections.Familiarity with tools and frameworks for handling large datasets.Strong knowledge of machine learning concepts and model evaluation techniques.Ability to adapt pre-trained language models to specific tasks and domains.Experience with hyperparameter tuning methods for optimizing model performance.Awareness of ethical considerations in language models and responsible AI practices.

Additional Information:      Full-time remote opportunity.Competitive salary and benefits package.Opportunity to work with a dynamic and innovative team in a fast-paced environment.

About Pesto Tech:Pesto
 is where software developers go to build their career path for the next
 5 years. We don't just offer jobs; we provide unparalleled 
opportunities for your growth and success in the dynamic landscape of 
Tech Jobs.
            "
